product_id,product_name,category,price
1,넥타이 실크,패션,72000
2,압력솥,가전,95000
3,게이밍 키보드,디지털,87000
4,음성인식 스피커,가전,147000
5,향수 프랑스,패션,122000
6,오디오 인터페이스,디지털,278000
7,파워 서플라이,디지털,109000
8,온수매트,가전,98000
9,전동 칫솔,가전,147000
10,건조기,가전,607000
11,GPU RTX 4070,디지털,1372000
12,인덕션 레인지,가전,173000
13,블루투스 스피커,디지털,205000
14,헤어드라이어,가전,85000
15,무선 충전기,디지털,34000
16,의자 게이밍,가전,216000
17,에어컨 벽걸이,가전,598000
18,운동 매트,패션,27000
19,전기장판,가전,80000
20,렌즈 85mm,디지털,1560000
21,이어폰 유선,디지털,49000
22,장갑 가죽,패션,32000
23,USB-C 허브,디지털,67000
24,선글라스,패션,76000
25,전기밥솥,가전,223000
26,와인냉장고,가전,420000
27,다리미,가전,44000
28,양말 5족세트,패션,25000
29,등산복,패션,127000
30,에어프라이어,가전,116000
31,전기포트,가전,47000
32,홈시어터,가전,307000
33,액션캠 4K,디지털,349000
34,김치냉장고,가전,567000
35,정수기,가전,422000
36,공기청정기,가전,378000
37,파우치 가죽,패션,48000
38,수영복,패션,40000
39,전기히터,가전,78000
40,커피머신,가전,276000
41,TV 스탠드,가전,63000
42,클러치백,패션,62000
43,스마트 도어벨,디지털,200000
44,보조배터리,디지털,26000
45,프리미엄 무선 이어폰,디지털,338000
46,마우스 패드,디지털,21000
47,반지 다이아몬드,패션,1766000
48,모니터 27인치,디지털,527000
49,벨트 가죽,패션,36000
50,마사지 건,가전,291000
51,스피커 포터블,디지털,90000
52,메모리카드 256GB,디지털,65000
53,정장 수트,패션,265000
54,로봇청소기,가전,697000
55,데님 청바지,패션,60000
56,어댑터 멀티,디지털,38000
57,디지털 카메라,디지털,915000
58,키보드 기계식,디지털,195000
59,귀걸이 실버,패션,106000
60,히터,가전,130000
61,무선청소기,가전,335000
62,마이크 콘덴서,디지털,98000
63,믹서기,가전,56000
64,노트북 Pro,디지털,2387000
65,속옷 세트,패션,27000
66,스카프 캐시미어,패션,88000
67,가습기,가전,60000
68,무선 충전 패드,디지털,35000
69,원피스 플라워,패션,43000
70,모자 베레,패션,32000
71,토스터기,가전,48000
72,RAM 32GB,디지털,438000
73,캐주얼 백팩,패션,78000
74,그래픽 타블렛,디지털,185000
75,냉장고 양문형,가전,1576000
76,사운드바,가전,336000
77,여행용 캐리어,패션,155000
78,시계 프리미엄,패션,903000
79,트레이닝복,패션,47000
80,포터블 SSD,디지털,284000
81,식기세척기,가전,791000
82,세탁기 드럼형,가전,1317000
83,외장 하드디스크,디지털,165000
84,물병 스테인리스,패션,22000
85,가죽 재킷,패션,469000
86,요가복,패션,72000
87,비즈니스 셔츠,패션,41000
88,메인보드 B550,디지털,290000
89,모니터 암,가전,146000
90,목걸이 골드,패션,457000
91,LED 조명,가전,31000
92,비데,가전,542000
93,스탠드 선풍기,가전,130000
94,후드 집업,패션,85000
95,니트 스웨터,패션,59000
96,삼각대 프로,디지털,135000
97,드론 미니,디지털,229000
98,제습기,가전,210000
99,선풍기,가전,54000
100,OLED TV 55인치,가전,2688000
